,Hindi,English
0,होनी,Having
1,होना,Happen
2,होते,Having
3,होती,Happiness
4,होता,Would
5,होटल,hotel
6,होंगे,Will be
7,होगी,Will be
8,होगा,Will happen
9,होकर,In
10,हों,Ho
11,हैक्टर,Hectare
12,हैं,Are
13,है,Is
14,हेतु,For
15,हृदय,Heart
16,हूँ,am
17,हुए,Has
18,हुई,Hui
19,हुआ,Happened
20,ही,Sole
21,हिस्से,Part
22,हिस्सा,Part
23,हिंसा,violence
24,हिम्मत,Courage
25,हिमालय,Himalaya
26,हिमाचल,Himachal
27,हिन्दुस्तान,Hindustan
28,हिन्दुओं,Hindus
29,हिंदू,Hindu
30,हिंदी,Hindi
31,हालांकि,Although
32,हालत,Condition
33,हाल,Condition
34,हार,Garland
35,हानि,Loss
36,हाथों,Hand
37,हाथ,Hand
38,हाँ,Yes
39,हंस,Swan
40,हवाई,airy
41,हवा,Air
42,हल्के,Mild
43,हल्की,Mild
44,हल्का,Light
45,हरे,Green
46,हरी,Green
47,हमें,Us
48,हमला,assault
49,हमने,We
50,हत्या,the killing
51,हटा,Remove
52,हजारों,Thousands
53,हजार,Thousand
54,स्वीकृति,Acceptance
55,स्वीकार,Accept
56,स्वाभाविक,Natural
57,स्वस्तिक,Swastika
58,स्वर्णमंदिर,Golden Temple
59,स्वर,Vocal
60,स्वयं,Self
61,स्वतन्त्रता,Independence
62,स्वतन्त्र,Independent
63,स्वतंत्रता,Freedom
64,स्व,Self
65,स्मिता,Smita
66,स्मरण,Reconciliation
67,स्पष्ट,Obvious
68,स्पर्श,Touch
69,स्नेह,affection
70,स्थिर,Stable
71,स्थिति,Situation
72,स्थित,Located
73,स्थायी,Permanent
74,स्थापित,Established
75,स्थापना,Establishment
76,स्थानों,Places
77,स्थानीय,local
78,स्थान,Location
79,स्थल,Site
80,स्त्रोत,Source
81,स्त्री,Woman
82,स्तर,level
83,सौन्दर्य,Beauty
84,सोचा,Think
85,सोचने,Thinking
86,सोचते,Thinking
87,सोचता,Thinking
88,सोच,Thinking
89,सैनिक,Soldier
90,सैकड़ों,Hundreds
91,सेवाओं,Services
92,सेवा,Service
93,सेवन,Consumption
94,सेना,Army
95,से,From
96,सृष्टि,Nature
97,सृजन,Creation
98,सूर्य,Sun
99,सूरज,Sun
100,सूत्र,Formula
101,सूची,List
102,सूचना,Information
103,सूखे,Dried
104,सूक्ष्म,Micro
105,सुविधा,Facility
106,सुरक्षित,Safe
107,सुबह,Morning
108,सुपर,Super
109,सुन्दर,Beautiful
110,सुनी,Listening
111,सुनिश्चित,Assured
112,सुनाई,Hearing
113,सुना,heard
114,सुनने,Listen
115,सुनते,Hearing
116,सुनकर,Hearing
117,सुन,Listen
118,सुंदर,Beautiful
119,सुख,Happiness
120,सीमा,Limit
121,सीधे,Straight
122,सीधा,Straight
123,सीखने,Learn
124,सीख,Learn
125,सी,C
126,सिंह,Lion
127,सिर्फ,Only
128,सिरे,Tip
129,सिर,Head
130,सिद्धान्तों,Principles
131,सिद्धांत,Principle
132,सिद्ध,Proven
133,सिंचाई,Irrigation
134,सिखों,Sikhs
135,सिख,Sikh
136,साहित्य,Literature
137,साहसी,Daring
138,साहस,Bravery
139,साहब,Sir
140,सांस्कृतिक,Cultural
141,सास,Mother in law
142,सावित्री,Savitri
143,सावधानी,Caution
144,साल,Year
145,सार्वजनिक,Public
146,सारे,all
147,सारी,all
148,सारा,All
149,साम्राज्य,Empire
150,सामूहिक,the collective
151,सामान्यतः,Generally
152,सामान,Belongings
153,सामाजिक,Social
154,सामने,Front
155,सामना,Cope
156,सामग्री,Material
157,साबित,Proven
158,साफ,Clean
159,साधु,Saint
160,साधारण,Simple
161,साधना,meditation
162,साधन,Resource
163,साथी,Fellow
164,साथियों,Peer
165,साथ,Together
166,सात,Seven
167,साढ़े,Half -and -a -half
168,सही,Correct
169,सहित,Including
170,सहायता,Help
171,सहसा,Suddenly
172,सहयोग,Cooperation
173,सहन,Tolerate
174,सहज,Simple
175,सहकारी,Co -operative
176,संस्थानों,Institutions
